"","occurrenceID","braun.blanquet","measurementValue","measurementType","measurementTypeID","measurementUnit","measurementUnitID"
"28","2020-07-17T09:33:27Z_EAC_Cole_Harbour_G0060240_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"29","2020-07-17T09:33:37Z_EAC_Cole_Harbour_G0060241_495077",2," 5-25","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"30","2020-07-17T09:33:47Z_EAC_Cole_Harbour_G0060242_495077",1,"<5","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"31","2020-07-17T09:33:57Z_EAC_Cole_Harbour_G0060243_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"32","2020-07-17T09:34:07Z_EAC_Cole_Harbour_G0060244_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"33","2020-07-17T09:34:17Z_EAC_Cole_Harbour_G0060245_495077",3,"25-50","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"34","2020-07-17T09:34:27Z_EAC_Cole_Harbour_G0060246_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"35","2020-07-17T09:34:37Z_EAC_Cole_Harbour_G0060247_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"36","2020-07-17T09:34:47Z_EAC_Cole_Harbour_G0060248_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"37","2020-07-17T09:34:57Z_EAC_Cole_Harbour_G0060249_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"38","2020-07-17T09:35:07Z_EAC_Cole_Harbour_G0060250_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"39","2020-07-17T09:35:17Z_EAC_Cole_Harbour_G0060251_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"40","2020-07-17T09:35:27Z_EAC_Cole_Harbour_G0060252_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"41","2020-07-17T09:35:37Z_EAC_Cole_Harbour_G0060253_495077",1,"<5","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"42","2020-07-17T09:35:47Z_EAC_Cole_Harbour_G0060254_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"43","2020-07-17T09:35:57Z_EAC_Cole_Harbour_G0060255_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"44","2020-07-17T09:36:07Z_EAC_Cole_Harbour_G0060256_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"45","2020-07-17T09:36:17Z_EAC_Cole_Harbour_G0060257_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"46","2020-07-17T09:36:27Z_EAC_Cole_Harbour_G0060258_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"47","2020-07-17T09:36:37Z_EAC_Cole_Harbour_G0060259_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"48","2020-07-17T09:36:47Z_EAC_Cole_Harbour_G0060260_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"49","2020-07-17T09:36:57Z_EAC_Cole_Harbour_G0060261_495077",NA,NA,"cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"50","2020-07-17T09:37:07Z_EAC_Cole_Harbour_G0060262_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
"51","2020-07-17T09:37:17Z_EAC_Cole_Harbour_G0060263_495077",0,"0","cover","http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10/","percent","http://vocab.nerc.ac.uk/collection/P06/current/UPCT"
